make,model,year,mileage,CarCategory,listPrice,accidentHistory,bodytype,noAccidents,oneOwner,personalUse,vehicleCondition,serviceRecords,transmission,listingStatus,dealerState,dealerCity,certified,displacement,drivetype,engine cyl or electric,interiorColor,exteriorColor,fuel,mpgCombined,mpgCity,mpgHighway,dealerRate,onePrice,Options,serviceHistory,vehicleUseHistory,firstSeenday,latitude,longitude,detailedUrl
Chevrolet,Spark EV,2015,31113,Economy,11788,No Accident or Damage Reported,Hatchback,TRUE,TRUE,TRUE,Used,TRUE,Automatic,,CA,Los Angeles,FALSE,NA,FWD,Electric,Gray,Red,Electric,119,128,109,0,,"['AM/FM', 'Air Conditioning', 'Alloy Wheels', 'Cruise Control', 'Heated Seats', 'Keyless Entry', 'MP3', 'Power Steering', 'Power Windows', 'Satellite Radio']","[{'city': 'Los Angeles', 'state': 'CA', 'odometerReading': 31113, 'date': '10/09/18', 'description': '[Pre-delivery inspection completed, Electrical system checked, Wipers/washers checked, Tire condition and pressure checked, Tire(s) replaced, Tire(s) balanced]', 'source': 'Felix Chevrolet, Los Angeles, CA, '}]","{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 10399, 'useType': 'Personal Lease', 'ownerNumber': 1}]}",10/10/18,34.02187,-118.27891,https://www.carfax.com/vehicle/KL8CL6S03FC814566
Chevrolet,Spark EV,2015,33579,Economy,11988,No Accident or Damage Reported,Hatchback,TRUE,TRUE,TRUE,Used,TRUE,Automatic,,CA,Los Angeles,FALSE,NA,FWD,Electric,Gray,Blue,Electric,119,128,109,3.8,,"['AM/FM', 'Air Conditioning', 'Alloy Wheels', 'Cruise Control', 'Heated Seats', 'Keyless Entry', 'MP3', 'Power Steering', 'Power Windows', 'Satellite Radio']","[{'city': 'Los Angeles', 'state': 'CA', 'odometerReading': 33579, 'date': '09/27/18', 'description': '[Pre-delivery inspection completed, Tire condition and pressure checked, Wiper(s) replaced]', 'source': 'Felix Chevrolet, Los Angeles, CA, '}]","{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 9146, 'useType': 'Personal Use', 'ownerNumber': 1}]}",9/21/18,34.02187,-118.27891,https://www.carfax.com/vehicle/KL8CL6S06FC712629
Chevrolet,Spark EV,2015,33579,Economy,11988,No Accident or Damage Reported,Hatchback,TRUE,TRUE,TRUE,Used,TRUE,Automatic,,CA,Los Angeles,FALSE,NA,FWD,Electric,Gray,Blue,Electric,119,128,109,3.8,,"['AM/FM', 'Air Conditioning', 'Alloy Wheels', 'Cruise Control', 'Heated Seats', 'Keyless Entry', 'MP3', 'Power Steering', 'Power Windows', 'Satellite Radio']","[{'city': 'Los Angeles', 'state': 'CA', 'odometerReading': 33579, 'date': '09/27/18', 'description': '[Pre-delivery inspection completed, Tire condition and pressure checked, Wiper(s) replaced]', 'source': 'Felix Chevrolet, Los Angeles, CA, '}]","{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 9146, 'useType': 'Personal Use', 'ownerNumber': 1}]}",9/21/18,34.02187,-118.27891,https://www.carfax.com/vehicle/KL8CL6S06FC712629
Chevrolet,Spark EV,2015,31113,Economy,11788,No Accident or Damage Reported,Hatchback,TRUE,TRUE,TRUE,Used,TRUE,Automatic,,CA,Los Angeles,FALSE,NA,FWD,Electric,Gray,Red,Electric,119,128,109,0,,"['AM/FM', 'Air Conditioning', 'Alloy Wheels', 'Cruise Control', 'Heated Seats', 'Keyless Entry', 'MP3', 'Power Steering', 'Power Windows', 'Satellite Radio']","[{'city': 'Los Angeles', 'state': 'CA', 'odometerReading': 31113, 'date': '10/09/18', 'description': '[Pre-delivery inspection completed, Electrical system checked, Wipers/washers checked, Tire condition and pressure checked, Tire(s) replaced, Tire(s) balanced]', 'source': 'Felix Chevrolet, Los Angeles, CA, '}]","{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 10399, 'useType': 'Personal Lease', 'ownerNumber': 1}]}",10/10/18,34.02187,-118.27891,https://www.carfax.com/vehicle/KL8CL6S03FC814566
Chevrolet,Spark EV,2015,33579,Economy,11988,No Accident or Damage Reported,Hatchback,TRUE,TRUE,TRUE,Used,TRUE,Automatic,,CA,Los Angeles,FALSE,NA,FWD,Electric,Gray,Blue,Electric,119,128,109,3.8,,"['AM/FM', 'Air Conditioning', 'Alloy Wheels', 'Cruise Control', 'Heated Seats', 'Keyless Entry', 'MP3', 'Power Steering', 'Power Windows', 'Satellite Radio']","[{'city': 'Los Angeles', 'state': 'CA', 'odometerReading': 33579, 'date': '09/27/18', 'description': '[Pre-delivery inspection completed, Tire condition and pressure checked, Wiper(s) replaced]', 'source': 'Felix Chevrolet, Los Angeles, CA, '}]","{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 9146, 'useType': 'Personal Use', 'ownerNumber': 1}]}",9/21/18,34.02187,-118.27891,https://www.carfax.com/vehicle/KL8CL6S06FC712629
Chevrolet,Spark EV,2015,31113,Economy,11788,No Accident or Damage Reported,Hatchback,TRUE,TRUE,TRUE,Used,TRUE,Automatic,,CA,Los Angeles,FALSE,NA,FWD,Electric,Gray,Red,Electric,119,128,109,0,,"['AM/FM', 'Air Conditioning', 'Alloy Wheels', 'Cruise Control', 'Heated Seats', 'Keyless Entry', 'MP3', 'Power Steering', 'Power Windows', 'Satellite Radio']","[{'city': 'Los Angeles', 'state': 'CA', 'odometerReading': 31113, 'date': '10/09/18', 'description': '[Pre-delivery inspection completed, Electrical system checked, Wipers/washers checked, Tire condition and pressure checked, Tire(s) replaced, Tire(s) balanced]', 'source': 'Felix Chevrolet, Los Angeles, CA, '}]","{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 10399, 'useType': 'Personal Lease', 'ownerNumber': 1}]}",10/10/18,34.02187,-118.27891,https://www.carfax.com/vehicle/KL8CL6S03FC814566
Tesla,Model S,2014,17420,Luxury,49000,No Accident or Damage Reported,Sedan,TRUE,TRUE,FALSE,Used,TRUE,Automatic,,WA,Seattle,FALSE,NA,RWD,Electric,Tan,Green,Electric,89,88,90,3,54400,"['AM/FM', 'Air Conditioning', 'Aux Audio Adapter', 'Cruise Control', 'Handsfree/Bluetooth Integration', 'Intermittent Wipers', 'Keyless Entry', 'Power Steering', 'Rear Window Defroster', 'Rear-View Camera']","[{'city': 'Seattle', 'state': 'WA', 'odometerReading': 0, 'date': '08/03/18', 'description': '[Vehicle serviced]', 'source': 'Arrows Automotive, Seattle, WA, '}]","{'text': 'Corporate Use', 'icon': 'corporate', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_corporate.gif', 'history': [{'averageMilesPerYear': 4898, 'useType': 'Corporate', 'ownerNumber': 1}]}",7/12/18,47.54926,-122.32015,https://www.carfax.com/vehicle/5YJSA1H13EFP61591
Tesla,Model S,2013,43266,Luxury,41800,No Accident or Damage Reported,Sedan,TRUE,TRUE,TRUE,Used,TRUE,Automatic,,WA,Seattle,FALSE,NA,RWD,Electric,Black,Gray,Electric,94,93,96,3,43080,"['AM/FM', 'Air Conditioning', 'Aux Audio Adapter', 'Cruise Control', 'Intermittent Wipers', 'Keyless Entry', 'Power Seat (Driver)', 'Power Steering', 'Power Windows', 'Rear-View Camera']","[{'city': 'Seattle', 'state': 'WA', 'odometerReading': 0, 'date': '07/27/18', 'description': '[Tire(s) replaced, Lug nut(s)/bolt(s) replaced]', 'source': 'Arrows Automotive, Seattle, WA, '}]","{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 8476, 'useType': 'Personal Use', 'ownerNumber': 1}]}",7/14/18,47.54926,-122.32015,https://www.carfax.com/vehicle/5YJSA1AC5DFP11186
Fiat,500e,2015,10067,Economy,10000,No Accident or Damage Reported,Hatchback,TRUE,TRUE,TRUE,Used,TRUE,Automatic,,WA,Seattle,FALSE,NA,FWD,Electric,Black,Silver,Electric,116,122,108,3,10880,"['AM/FM', 'Air Conditioning', 'Aux Audio Adapter', 'Cruise Control', 'Fog Lights', 'Heated Seats', 'Keyless Entry', 'Navigation System', 'Power Steering', 'Power Windows']","[{'city': 'Fremont', 'state': 'CA', 'odometerReading': 3523, 'date': '01/06/16', 'description': '[Maintenance inspection completed, Tire condition and pressure checked]', 'source': 'Premier Nissan of Fremont, Fremont, CA, '}]","{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 3228, 'useType': 'Personal Lease', 'ownerNumber': 1}]}",8/31/18,47.54926,-122.32015,https://www.carfax.com/vehicle/3C3CFFGE2FT685389
Tesla,Model S,2016,22500,Luxury,65000,No Accident or Damage Reported,Sedan,TRUE,TRUE,TRUE,Used,TRUE,Automatic,,WA,Seattle,FALSE,NA,AWD,Electric,Black,Black,Electric,0,0,0,3,62530,"['AM/FM', 'Air Conditioning', 'Cruise Control', 'Heated Seats', 'Intermittent Wipers', 'Navigation System', 'Power Seat (Driver)', 'Power Steering', 'Rear Window Defroster', 'Rear-View Camera']","[{'city': 'Seattle', 'state': 'WA', 'odometerReading': 22499, 'date': '09/28/18', 'description': '[Vehicle serviced]', 'source': 'Arrows Automotive, Seattle, WA, '}]","{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 12162, 'useType': 'Personal Use', 'ownerNumber': 1}]}",9/19/18,47.54926,-122.32015,https://www.carfax.com/vehicle/5YJSA1E21GF161233
Tesla,Model S,2013,43266,Luxury,41800,No Accident or Damage Reported,Sedan,TRUE,TRUE,TRUE,Used,TRUE,Automatic,,WA,Seattle,FALSE,NA,RWD,Electric,Black,Gray,Electric,94,93,96,3,43080,"['AM/FM', 'Air Conditioning', 'Aux Audio Adapter', 'Cruise Control', 'Intermittent Wipers', 'Keyless Entry', 'Power Seat (Driver)', 'Power Steering', 'Power Windows', 'Rear-View Camera']","[{'city': 'Seattle', 'state': 'WA', 'odometerReading': 0, 'date': '07/27/18', 'description': '[Tire(s) replaced, Lug nut(s)/bolt(s) replaced]', 'source': 'Arrows Automotive, Seattle, WA, '}]","{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 8476, 'useType': 'Personal Use', 'ownerNumber': 1}]}",7/14/18,47.54926,-122.32015,https://www.carfax.com/vehicle/5YJSA1AC5DFP11186
Fiat,500e,2015,11553,Economy,9500,No Accident or Damage Reported,Hatchback,TRUE,TRUE,TRUE,Used,TRUE,Automatic,,WA,Seattle,FALSE,NA,FWD,Electric,Black,White,Electric,116,122,108,3,10900,"['AM/FM', 'Air Conditioning', 'Aux Audio Adapter', 'Cruise Control', 'Fog Lights', 'Heated Seats', 'Keyless Entry', 'Navigation System', 'Power Steering', 'Power Windows']","[{'city': 'Costa Mesa', 'state': 'CA', 'odometerReading': 5051, 'date': '10/25/16', 'description': '[Four wheel alignment performed]', 'source': 'Orange Coast Automotive, Costa Mesa, CA, '}]","{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 3877, 'useType': 'Personal Lease', 'ownerNumber': 1}]}",8/17/18,47.54926,-122.32015,https://www.carfax.com/vehicle/3C3CFFGE5FT726002
Fiat,500e,2015,10931,Economy,10000,No Accident or Damage Reported,Hatchback,TRUE,TRUE,TRUE,Used,FALSE,Automatic,,WA,Seattle,FALSE,NA,FWD,Electric,Black,Gray,Electric,116,122,108,3,11000,"['AM/FM', 'Air Conditioning', 'Aux Audio Adapter', 'Cruise Control', 'Fog Lights', 'Heated Seats', 'Keyless Entry', 'Navigation System', 'Power Steering', 'Power Windows']",,"{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 3575, 'useType': 'Personal Lease', 'ownerNumber': 1}]}",10/7/18,47.54926,-122.32015,https://www.carfax.com/vehicle/3C3CFFGE7FT732819
Tesla,Model S,2012,33698,Luxury,45000,No Accident or Damage Reported,Sedan,TRUE,TRUE,TRUE,Used,FALSE,Automatic,,WA,Seattle,FALSE,NA,RWD,Electric,NA,NA,Electric,89,88,90,3,49410,"['AM/FM', 'Air Conditioning', 'Cruise Control', 'Heated Seats', 'Intermittent Wipers', 'Keyless Entry', 'Power Seat (Driver)', 'Power Steering', 'Power Windows', 'Rear-View Camera']",,"{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 5771, 'useType': 'Personal Use', 'ownerNumber': 1}]}",10/13/18,47.54926,-122.32015,https://www.carfax.com/vehicle/5YJSA1CP8CFP01864
Fiat,500e,2015,12515,Economy,9300,Damage Reported,Hatchback,FALSE,TRUE,TRUE,Used,TRUE,Automatic,,WA,Seattle,FALSE,NA,FWD,Electric,Black,White,Electric,116,122,108,3,9270,"['AM/FM', 'Air Conditioning', 'Aux Audio Adapter', 'Cruise Control', 'Fog Lights', 'Heated Seats', 'Keyless Entry', 'Navigation System', 'Power Steering', 'Power Windows']","[{'city': 'Anaheim', 'state': 'CA', 'odometerReading': 3000, 'date': '09/07/16', 'description': '[Tire condition and pressure checked]', 'source': 'J Star Motors Inc, Anaheim, CA, '}]","{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 4206, 'useType': 'Personal Lease', 'ownerNumber': 1}]}",8/17/18,47.54926,-122.32015,https://www.carfax.com/vehicle/3C3CFFGE1FT709861
Tesla,Model S,2013,51002,Luxury,44400,No Accident or Damage Reported,Sedan,TRUE,FALSE,TRUE,Used,FALSE,Automatic,,WA,Seattle,FALSE,NA,RWD,Electric,NA,NA,Electric,89,88,90,3,,"['AM/FM', 'Air Conditioning', 'Aux Audio Adapter', 'Cruise Control', 'Intermittent Wipers', 'Keyless Entry', 'Power Seat (Driver)', 'Power Steering', 'Power Windows', 'Rear-View Camera']",,"{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 0, 'useType': 'Personal Use', 'ownerNumber': 1}, {'averageMilesPerYear': 10591, 'useType': 'Personal Use', 'ownerNumber': 2}]}",6/30/18,47.54926,-122.32015,https://www.carfax.com/vehicle/5YJSA1DN8DFP04469
Fiat,500e,2015,7413,Economy,9800,No Accident or Damage Reported,Hatchback,TRUE,TRUE,TRUE,Used,TRUE,Automatic,,WA,Seattle,FALSE,NA,FWD,Electric,Black,Blue,Electric,116,122,108,3,11270,"['AM/FM', 'Air Conditioning', 'Aux Audio Adapter', 'Cruise Control', 'Fog Lights', 'Heated Seats', 'Keyless Entry', 'Navigation System', 'Power Steering', 'Power Windows']","[{'city': 'Santa Rosa', 'state': 'CA', 'odometerReading': 5528, 'date': '01/26/18', 'description': '[Maintenance inspection completed, Tire condition and pressure checked, Key(s) (re) programmed]', 'source': 'Lithia Chrysler Jeep Dodge of Santa Rosa, Santa Rosa, CA, '}]","{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 2526, 'useType': 'Personal Lease', 'ownerNumber': 1}]}",9/1/18,47.54926,-122.32015,https://www.carfax.com/vehicle/3C3CFFGE2FT726040
Fiat,500e,2015,9754,Economy,9800,No Accident or Damage Reported,Hatchback,TRUE,TRUE,TRUE,Used,TRUE,Automatic,,WA,Seattle,FALSE,NA,FWD,Electric,Black,Blue,Electric,116,122,108,3,11010,"['AM/FM', 'Air Conditioning', 'Aux Audio Adapter', 'Cruise Control', 'Fog Lights', 'Heated Seats', 'Keyless Entry', 'Navigation System', 'Power Steering', 'Power Windows']","[{'city': 'Portland', 'state': 'OR', 'odometerReading': 9756, 'date': '10/04/18', 'description': '[Carpet protection installed, Vehicle washed/detailed]', 'source': 'Tonkin FIAT, Portland, OR, '}]","{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 3507, 'useType': 'Personal Lease', 'ownerNumber': 1}]}",8/31/18,47.54926,-122.32015,https://www.carfax.com/vehicle/3C3CFFGE3FT741260
